video_id;comment_id;comment;comment_likes
DLikpfc64cA;120;"se equivoco en el ejemplo de la rebanada con el ejemplo de &quot;¡hola, mundo!&quot; el dato a pedir era frase[<a href=""https://www.youtube.com/watch?v=DLikpfc64cA&amp;t=432"">7:12</a>] lo cual seria el resultado   Mund";0
DLikpfc64cA;121;Hola recién en 2024 puedo realizar este curso. No logro que funcione la rebanada y los puntos me dan error [1:4] error de sintaxis;0
DLikpfc64cA;122;muchisimas gracias!!;1
DLikpfc64cA;123;caldiad desde cero y se puede ver bien los codigos porque en otros videos de otras personas no veo bien el codigo para escribirlo es estupendo para el comienzo desde cero exelente lo recomiendo lo esto y empezando a ejecurat;0
DLikpfc64cA;124;Buen curso para iniciarse. Conceptos básicos explicados con suma claridad.;1
DLikpfc64cA;125;Gracias por la manera tan clara de explicar el curso! Eres grande!;1
DLikpfc64cA;126;Gracias linda!;0
DLikpfc64cA;127;Precio del curso.;0
DLikpfc64cA;128;Muchas gracias profe estoy estudiando sistemas y programación y ya realice los cursos de css y html y estoy terminando python me ha ayudado demasiado en la universidad estos tutoriales mil y mil gracias.;3
DLikpfc64cA;129;Holaaa, yo tengo 61 y comencé hace tres días!! Muy buena didáctica, muchas gracias ?;0
DLikpfc64cA;130;Tienes un don muchas gracias por compartir tus conocimientos.?;1
DLikpfc64cA;131;Muy bien explicado. Gracias.;1
DLikpfc64cA;132;Hola.  Tienes un talento para explicar impresionante. ¿Tienes cursos mas robustos o especializados en Python en donde se pueda continuar y profundizar en el aprendizaje?;0
DLikpfc64cA;133;Waoo, tremenda enseñanza;1
DLikpfc64cA;134;Excelente curso, muchas gracias. ????;0
DLikpfc64cA;135;chicos crashee el python por hacer un while infinito no lo hagan<br>xd;1
DLikpfc64cA;136;genial, clarísimo, lo haces fácil y atractivo;0
DLikpfc64cA;137;tengo 4 dias en este curso de 4 horas muy bueno de verdad;2
DLikpfc64cA;138;Concuerdo con los demás comentarios, creo que este curso esta mejor ordenado y la metodología es la más correcta, muchas gracias por compartir tus conocimientos;1
DLikpfc64cA;139;Hola salu2 Muy bien explicado de verdad de muchos cursos que he hecho para reforsar conocimientos hasta ahora este a sido el mejor TE FELICITO! muy especial;0
DLikpfc64cA;140;"<a href=""https://www.youtube.com/watch?v=DLikpfc64cA&amp;t=4974"">1:22:54</a>";1
DLikpfc64cA;141;"<a href=""https://www.youtube.com/watch?v=DLikpfc64cA&amp;t=2865"">47:45</a>";1
